"Brand","Model","KM Driven","Km/L","Range (Electric)","Gear","Motor Specs","Price","GPS","Trailer Hitch","4WD","Parkingsensor","Cruise Control","Antispin","ESP","El-Sæder","Leather Interior","Glass Roof","Headup Display","Isofix","Klimaanlæg","Regnsensor","Soltag","Sports Package","Seatwarmer","Xenon Lights","Non-Smoker","One-Owner","Service OK","Nysynet","Demo Car","Partly Leather Interior","CVR/Engros","Full Leather","Adaptive Cruise Control","Link","Year","Fuel_Type","Horsepower"
"Mercedes","EQA250",4000,15.4,496,"Automatgear","El

139 kW

190 HK",434900,"No","Yes","No","No","No","No","No","No","No","Yes","Yes","Yes","No","Yes","Yes","No","No","No","No","No","No","No","No","Yes","No","No","No","https://www.autouncle.dk/da/d/4693450-brugt-mercedes-eqa250-amg-line",2020,"El",190
"Mercedes","EQA250",11000,17.7,429,"Automatgear","El

139 kW

190 HK",379900,"No","Yes","No","No","No","No","No","No","No","Yes","No","Yes","Yes","Yes","Yes","No","No","No","No","No","No","No","No","Yes","No","No","No","https://www.autouncle.dk/da/d/4646597-brugt-mercedes-eqa250-amg-line",2020,"El",190
"Mercedes","EQC400",28000,22.3,411,"Automatgear","El

300 kW

408 HK",589900,"No","Yes","Yes","No","No","No","No","No","No","No","Yes","Yes","Yes","Yes","Yes","No","No","No","No","No","No","No","No","No","No","No","No","https://www.autouncle.dk/da/d/4705936-brugt-mercedes-eqc400-amg-4matic",2020,"El",408
"Mercedes","EQA250",5000,15.4,496,"Automatgear","El

139 kW

190 HK",434900,"No","Yes","No","No","No","No","No","No","No","Yes","Yes","Yes","No","Yes","Yes","No","No","No","No","No","No","No","No","Yes","No","No","No","https://www.autouncle.dk/da/d/4702727-brugt-mercedes-eqa250-amg-line",2020,"El",190
"Mercedes","EQA250",4000,15.4,496,"Automatgear","El

139 kW

190 HK",439900,"No","Yes","No","No","No","No","No","No","No","Yes","No","Yes","No","Yes","Yes","No","No","No","No","No","No","No","No","Yes","No","No","No","https://www.autouncle.dk/da/d/4833133-brugt-mercedes-eqa250-amg-line",2020,"El",190
"Mercedes","EQA350",10000,17.5,438,"Automatgear","El

214 kW

292 HK",424900,"No","No","Yes","No","No","No","No","No","No","Yes","No","Yes","Yes","Yes","Yes","No","No","No","No","No","No","No","No","No","No","No","No","https://www.autouncle.dk/da/d/4824100-brugt-mercedes-eqa350-progressive-4matic",2020,"El",292
"Mercedes","EQA250",4000,15.4,496,"Automatgear","El

139 kW

190 HK",439900,"No","Yes","No","No","No","No","No","No","No","Yes","No","Yes","No","Yes","Yes","No","No","No","No","No","No","No","No","Yes","No","No","No","https://www.autouncle.dk/da/d/4823052-brugt-mercedes-eqa250-amg-line",2020,"El",190
"Mercedes","EQB350",7000,18.1,423,"Automatgear","El

214 kW

292 HK",449900,"No","No","Yes","No","No","No","No","No","No","No","No","Yes","Yes","Yes","No","No","No","No","No","No","No","No","No","Yes","No","No","No","https://www.autouncle.dk/da/d/4794242-brugt-mercedes-eqb350-amg-line-4matic",2020,"El",292
"Mercedes","EQC400",10000,22.3,411,"Automatgear","El

300 kW

408 HK",579900,"No","Yes","Yes","No","No","No","No","No","No","No","No","Yes","Yes","Yes","Yes","No","No","No","No","No","No","No","No","No","No","No","No","https://www.autouncle.dk/da/d/4798914-brugt-mercedes-eqc400-amg-4matic",2020,"El",408
"Mercedes","EQC400",4000,22.3,411,"Automatgear","El

300 kW

408 HK",619900,"No","Yes","Yes","No","No","No","No","No","No","No","No","Yes","Yes","Yes","Yes","No","No","No","No","No","No","No","No","No","No","No","No","https://www.autouncle.dk/da/d/4815362-brugt-mercedes-eqc400-amg-4matic",2020,"El",408
