KM Driven,Km/L,Range (Electric),Gear,Price,GPS,Trailer Hitch,4WD,Parkingsensor,Cruise Control,Antispin,ESP,El-SÃ¦der,Leather Interior,Glass Roof,Headup Display,Isofix,KlimaanlÃ¦g,KÃ¸recomputer,Regnsensor,Soltag,Sports Package,Seatwarmer,Xenon Lights,Non-Smoker,One-Owner,Service OK,Nysynet,Demo Car,Partly Leather Interior,CVR/Engros,Full Leather,Adaptive Cruise Control,Link,Year,Brand,Model,Horsepower,Segment,Fuel_Type_Benzin,Fuel_Type_Diesel,Fuel_Type_El,Fuel_Type_Hybrid
125000,24.0,437.0,Automatgear,304800,1,0,0,1,1,1,1,0,1,0,0,1,0,No,1,1,0,1,0,1,1,0,0,0,0,0,0,0,https://www.autouncle.dk/da/d/4449450-brugt-audi-a5-sportback-2-0-tdi-190-s-tr,2018.0,Audi,A5,190.0,Premium,False,True,False,False
38000,50.0,437.0,Automatgear,344900,1,0,1,1,0,1,1,1,0,0,0,1,1,No,1,0,0,0,0,0,0,0,0,1,0,1,0,1,https://www.autouncle.dk/da/d/4820366-brugt-audi-e-tron-50-advanced-quattro,2020.0,Audi,e-tron,313.0,Premium,False,False,False,True
321500,13.0,437.0,Manuelt gear,9000,0,0,0,0,0,0,0,0,0,0,0,0,0,No,0,0,0,0,0,0,0,0,0,0,0,0,0,0,https://www.autouncle.dk/da/d/4802770-brugt-audi-a4-1-6-1-6,2002.0,Audi,A4,102.0,Economy,True,False,False,False
232000,21.0,437.0,Automatgear,219900,1,1,0,1,1,0,0,1,0,0,0,0,1,No,0,0,0,0,0,1,0,0,0,1,0,0,0,0,https://www.autouncle.dk/da/d/4781848-brugt-audi-a6-c7-2015-3-0tdi-218hk-s-line-s-tr,2015.0,Audi,A6,218.0,Mid-Range,False,True,False,False
309000,10.0,437.0,Manuelt gear,19999,0,0,0,0,0,0,0,0,0,0,0,0,0,No,0,0,0,0,0,0,0,0,0,0,0,0,0,0,https://www.autouncle.dk/da/d/4742250-brugt-audi-a6-2-4-2-4-v6-177,2004.0,Audi,A6,177.0,Economy,True,False,False,False
198000,21.0,437.0,Automatgear,190000,0,0,0,0,1,0,0,0,0,0,0,0,0,No,0,0,0,0,0,0,0,0,0,0,0,0,0,0,https://www.autouncle.dk/da/d/4701226-brugt-audi-a4-2-0-tdi-150-hk-5-dors-s-tronic,2017.0,Audi,A4,150.0,Mid-Range,False,True,False,False
64800,25.0,437.0,Manuelt gear,590000,0,1,1,0,0,0,0,0,0,1,0,0,1,No,0,0,0,0,0,0,0,0,0,0,0,0,0,1,https://www.autouncle.dk/da/d/4701232-brugt-audi-sq5-3-0-tfsi-354-hk-260-kw-5-dors-quattro-tiptronic,2018.0,Audi,SQ5,354.0,Luxury,True,False,False,False
11500,25.0,437.0,Automatgear,340000,0,1,0,0,0,0,0,0,0,0,0,0,0,No,0,0,0,0,0,0,0,0,0,0,0,0,0,1,https://www.autouncle.dk/da/d/4788359-brugt-audi-q3-1-4-45-tfsi-e-5-dors-s-tronic,2022.0,Audi,Q3,245.0,Premium,True,False,False,False
131000,21.0,437.0,Manuelt gear,157999,0,0,0,0,1,0,0,0,0,0,0,0,1,No,0,0,0,0,0,0,0,0,0,1,0,0,0,0,https://www.autouncle.dk/da/d/4701246-brugt-audi-a3-sportback-1-6-tdi-110-hk-5-dors,2015.0,Audi,A3,110.0,Mid-Range,False,True,False,False
62500,22.0,437.0,Automatgear,244900,0,0,0,1,0,0,0,0,0,0,0,0,1,No,0,0,0,0,0,0,0,0,0,0,0,0,0,0,https://www.autouncle.dk/da/d/4445198-brugt-audi-a3-sportback-15-tfsi-sport-s-tronic-150hk-5d-7g-aut,2018.0,Audi,A3,150.0,Mid-Range,True,False,False,False
37000,19.0,437.0,Automatgear,349900,1,0,0,1,0,1,1,1,0,0,0,1,1,No,1,0,0,0,0,0,0,0,0,0,0,1,0,1,https://www.autouncle.dk/da/d/4666369-brugt-audi-q3-35-tfsi-advanced-prestige-s-tr,2019.0,Audi,Q3,150.0,Premium,True,False,False,False
282000,20.0,437.0,Automatgear,129000,0,0,0,0,0,0,0,0,0,0,0,0,0,No,0,0,0,0,0,0,0,0,0,0,0,0,0,0,https://www.autouncle.dk/da/d/4536654-brugt-audi-a6-2-0-tdi-aut,2011.0,Audi,A6,177.0,Economy,False,True,False,False
180000,17.0,437.0,Manuelt gear,169000,0,0,0,0,0,0,0,0,0,0,0,0,0,No,0,0,0,0,0,0,0,0,0,0,0,0,0,0,https://www.autouncle.dk/da/d/4427502-brugt-audi-a5-sportback-1-8-tfsi-170-hk-5-dors,2013.0,Audi,A5,170.0,Mid-Range,True,False,False,False
108000,25.0,437.0,Automatgear,280000,0,0,0,0,0,0,0,0,0,0,0,0,0,No,0,0,0,0,0,0,0,0,0,0,0,0,0,0,https://www.autouncle.dk/da/d/4811595-brugt-audi-a4-2-0-2-0-tfsi-190-hk-5-dors-s-tronic,2018.0,Audi,A4,190.0,Mid-Range,True,False,False,False
209000,21.0,437.0,Manuelt gear,159900,1,0,0,0,0,0,0,0,0,0,0,0,1,No,0,0,0,0,0,0,0,0,0,1,0,0,0,0,https://www.autouncle.dk/da/d/4781847-brugt-audi-q5-2-0-tdi-150-5d-2015-suv,2015.0,Audi,Q5,150.0,Mid-Range,False,True,False,False
