Brand,Model,KM Driven,Km/L,Gear,Price,GPS,Trailer Hitch,4WD,Parkingsensor,Cruise Control,Antispin,ESP,El-Sæder,Leather Interior,Glass Roof,Headup Display,Isofix,Klimaanlæg,Regnsensor,Soltag,Sports Package,Seatwarmer,Xenon Lights,Non-Smoker,One-Owner,Service OK,Nysynet,Demo Car,Partly Leather Interior,CVR/Engros,Full Leather,Adaptive Cruise Control,Link,Year,Fuel_Type,Horsepower
Toyota,Corolla,0.0,21.0,Manuelt gear,199900.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,https://www.autouncle.dk/da/d/4811603-brugt-toyota-corolla-1-6-gti,1991,Benzin,134.94513715710724
Toyota,Yaris,100000.0,21.0,Manuelt gear,130000.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,https://www.autouncle.dk/da/d/4784348-brugt-toyota-yaris-hybrid,2019,Hybrid,134.94513715710724
Toyota,Yaris,291999.0,22.0,Manuelt gear,10000.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,https://www.autouncle.dk/da/d/4436223-brugt-toyota-yaris-1-4-d-4d-5-dors,2020,Diesel,86.0
Toyota,Yaris,1500.0,27.0,Manuelt gear,310000.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,https://www.autouncle.dk/da/d/4318023-ny-toyota-yaris-hybrid-1-5-hybrid-116-hk-aut-gear,2020,Hybrid,92.0
Alfa,Romeo,66000.0,12.0,Manuelt gear,149900.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,https://www.autouncle.dk/da/d/4820606-brugt-alfa-romeo-gtv,2019,Benzin,130.0
Alfa,Romeo,129000.0,21.0,Automatgear,289000.0,1,0,0,1,1,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,1,1,0,0,0,0,https://www.autouncle.dk/da/d/4813750-brugt-alfa-romeo-stelvio-2-2-jtd-180-super-aut,2020,Diesel,180.0
Alfa,Romeo,0.0,16.0,Manuelt gear,74800.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,https://www.autouncle.dk/da/d/4801068-brugt-alfa-romeo-spider-916,1997,Benzin,916.0
Alfa,Romeo,0.0,16.0,Manuelt gear,17800.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,https://www.autouncle.dk/da/d/4710217-brugt-alfa-romeo-156-v6-busso,1998,Benzin,199.88636363636363
Alfa,Romeo,200000.0,17.0,Manuelt gear,85000.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,https://www.autouncle.dk/da/d/3910976-brugt-alfa-romeo-giulietta-1-4-distinctive-sportiva-1,2010,Benzin,170.0
Alfa,Romeo,0.0,16.0,Manuelt gear,75000.0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,https://www.autouncle.dk/da/d/4677256-brugt-alfa-romeo-155-alfa-romeo-155,1996,Benzin,199.88636363636363
Audi,A6,32000.0,38.0,Automatgear,549900.0,1,0,1,1,0,1,1,1,0,1,1,1,1,1,1,0,1,0,0,1,0,0,0,1,1,0,1,https://www.autouncle.dk/da/d/4596180-brugt-audi-a6-55-tfsi-e-sport-prestige-quattro-s-tr,2020,Benzin,367.0
Audi,A3,129000.0,23.0,Automatgear,164280.0,0,1,0,1,1,0,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,https://www.autouncle.dk/da/d/4584956-brugt-audi-a3-20-tdi-sport-s-tronic-150hk-6g-aut,2020,Diesel,150.0
Audi,A3,154000.0,21.0,Automatgear,159995.0,1,0,0,1,1,0,0,1,0,0,0,1,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,https://www.autouncle.dk/da/d/4800191-brugt-audi-a3-1-4-tfsi-150-ambition-s-tr,2020,Benzin,150.0
Audi,e-tron,26000.0,50.0,Automatgear,339895.0,1,0,1,1,1,1,1,0,0,0,0,1,1,1,0,1,0,0,0,1,0,0,0,0,1,0,0,https://www.autouncle.dk/da/d/4806618-brugt-audi-e-tron-s-line-sportback-quattro,2020,Hybrid,313.0
Audi,e-tron,13000.0,50.0,Automatgear,348995.0,1,0,1,1,0,1,1,0,1,0,1,1,1,1,0,0,0,0,0,1,0,0,0,1,0,0,1,https://www.autouncle.dk/da/d/4806198-brugt-audi-e-tron-advanced-prestige-quattro,2020,Hybrid,313.0
Audi,e-tron,33000.0,50.0,Automatgear,339995.0,1,0,1,1,1,1,1,0,1,0,1,1,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,https://www.autouncle.dk/da/d/4806197-brugt-audi-e-tron-advanced-prestige-quattro,2020,Hybrid,313.0
Audi,e-tron,43000.0,50.0,Automatgear,329800.0,1,0,1,1,1,0,1,0,1,0,0,1,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,https://www.autouncle.dk/da/d/4816964-brugt-audi-e-tron-prestige-quattro,2020,Hybrid,313.0
Audi,A4,173000.0,24.0,Automatgear,219500.0,1,0,0,1,1,1,1,1,1,0,0,1,1,1,0,0,1,0,1,0,0,0,1,1,0,0,0,https://www.autouncle.dk/da/d/4820589-brugt-audi-a4-2-0-tdi-190-sport-avant-s-tr,2020,Diesel,190.0
Audi,Q3,110000.0,20.0,Automatgear,209800.0,1,0,1,0,1,0,0,0,0,0,0,1,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,https://www.autouncle.dk/da/d/4285410-brugt-audi-q3-tdi-150-quattro-s-tr,2020,Diesel,150.0
Audi,A4,352000.0,15.0,Manuelt gear,50000.0,0,0,0,0,1,1,1,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,1,0,0,1,0,https://www.autouncle.dk/da/d/4833441-brugt-audi-a4-2-0-tfsi-180-avant,2020,Benzin,180.0
Audi,A4,90000.0,25.0,Manuelt gear,198000.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,https://www.autouncle.dk/da/d/4710297-brugt-audi-a4-2-0-2-0-tfsi-190-hk-4-dors,2016,Benzin,190.0
Audi,A5,63000.0,18.0,Automatgear,319900.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,https://www.autouncle.dk/da/d/4523732-brugt-audi-a5-sportback-20-tfsi-sport-s-tronic-190hk-5d-7g-aut,2020,Benzin,190.0
Fiat,500C,26000.0,26.0,Manuelt gear,119900.0,0,0,0,1,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,https://www.autouncle.dk/da/d/4667475-brugt-fiat-500c-09-twinair-pop-start-stop-80hk-cabr,2020,Benzin,80.0
Fiat,500C,30000.0,21.0,Manuelt gear,128900.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,https://www.autouncle.dk/da/d/4471153-brugt-fiat-500c-12-eco-pop-start-stop-69hk-cabr,2020,Benzin,69.0
Fiat,500C,5000.0,26.0,Manuelt gear,174900.0,0,0,0,1,1,0,1,0,1,0,0,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,https://www.autouncle.dk/da/d/4596358-brugt-fiat-500c-10-mild-hybrid-dolcevita-70hk-cabr-6g,2020,Hybrid,70.0
Fiat,500C,110000.0,21.0,Manuelt gear,72900.0,0,0,0,1,0,1,1,0,0,0,0,1,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,https://www.autouncle.dk/da/d/4833443-brugt-fiat-500c-1-2-pop,2020,Benzin,69.0
Fiat,500,35000.0,21.0,Manuelt gear,74890.0,0,0,0,0,0,1,1,0,1,1,0,0,1,1,1,0,0,0,0,0,0,0,1,0,0,0,0,https://www.autouncle.dk/da/d/4815634-brugt-fiat-500-1-2-pop,2020,Benzin,69.0
Fiat,Panda,103000.0,18.0,Manuelt gear,23999.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,https://www.autouncle.dk/da/d/4743818-brugt-fiat-panda-1-2-ciao,2020,Benzin,60.0
Fiat,500,102000.0,26.0,Manuelt gear,94800.0,1,0,0,1,1,0,1,0,0,1,0,1,1,0,0,0,1,0,0,1,0,1,0,0,0,0,0,https://www.autouncle.dk/da/d/4483243-brugt-fiat-500-twinair-80-lounge,2020,Benzin,80.0
Fiat,500,29000.0,21.0,Manuelt gear,119900.0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,https://www.autouncle.dk/da/d/4746495-brugt-fiat-500-1-0-mild-hybrid-pop-70hk-3d-6g,2020,Hybrid,70.0
Fiat,500,111000.0,24.0,Manuelt gear,57900.0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1,0,0,0,0,https://www.autouncle.dk/da/d/4792098-brugt-fiat-500-0-9-twinair-65-lounge,2020,Benzin,65.0
Fiat,Grande,116300.0,17.0,Manuelt gear,29900.0,0,0,0,0,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,https://www.autouncle.dk/da/d/4778116-brugt-fiat-grande-punto-1-4-active,2020,Benzin,77.0
