Brand,Model,KM Driven,Km/L,Range (Electric),Gear,Price,GPS,Trailer Hitch,4WD,Parkingsensor,Cruise Control,Antispin,ESP,El-Sæder,Leather Interior,Glass Roof,Headup Display,Isofix,Klimaanlæg,Regnsensor,Soltag,Sports Package,Seatwarmer,Xenon Lights,Non-Smoker,One-Owner,Service OK,Nysynet,Demo Car,Partly Leather Interior,CVR/Engros,Full Leather,Adaptive Cruise Control,Link,Year,Fuel_Type,Horsepower
Hyundai,Kona,17500.0,15.0,484.0,Automatgear,279900.0,0,0,0,1,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,https://www.autouncle.dk/da/d/4432913-brugt-hyundai-kona-el-essential-204hk-5d-trinl-gear,2020,El,204.0
Hyundai,Kona,100.0,15.0,514.0,Automatgear,353900.0,1,0,0,1,0,0,1,0,0,0,1,1,1,1,0,0,0,0,0,0,0,0,0,0,1,0,1,https://www.autouncle.dk/da/d/4682881-ny-hyundai-kona-electric-65-4-kwh-ultimate-long-range-217hk-5d-aut,2020,El,217.0
Hyundai,Kona,1000.0,15.0,514.0,Automatgear,352900.0,1,0,0,1,0,0,1,0,0,0,1,1,1,1,0,0,0,0,0,0,0,0,0,0,1,0,1,https://www.autouncle.dk/da/d/4670269-ny-hyundai-kona-electric-65-4-kwh-ultimate-long-range-217hk-5d-aut,2020,El,217.0
Hyundai,Kona,3500.0,15.0,514.0,Automatgear,349900.0,1,0,0,1,0,0,1,0,0,0,1,1,1,1,0,0,0,0,0,0,0,0,0,0,1,0,1,https://www.autouncle.dk/da/d/4611053-brugt-hyundai-kona-electric-65-4-kwh-ultimate-long-range-217hk-5d-aut,2020,El,217.0
Hyundai,Kona,72000.0,15.0,484.0,Automatgear,199800.0,0,1,0,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,https://www.autouncle.dk/da/d/4595392-brugt-hyundai-kona-ev-automatisk,2020,El,202.0
Kia,Soul,16500.0,16.0,452.0,Automatgear,220000.0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,https://www.autouncle.dk/da/d/4822976-brugt-kia-soul-ev,2023,El,204.0
Kia,EV6,15.0,16.0,528.0,Automatgear,399900.0,1,0,0,1,1,0,1,1,0,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,https://www.autouncle.dk/da/d/4708839-ny-kia-ev6-el-long-range-gt-line-229hk-5d-trinl-gear,2020,El,229.0
Kia,EV6,30.0,16.0,528.0,Automatgear,399900.0,1,0,0,1,1,0,1,1,0,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,https://www.autouncle.dk/da/d/4731612-ny-kia-ev6-el-long-range-gt-line-229hk-5d-trinl-gear,2020,El,229.0
Kia,e-Niro,49500.0,16.0,455.0,Automatgear,224900.0,1,0,0,0,1,1,0,0,0,0,0,1,1,0,1,0,0,0,0,0,0,1,0,0,0,0,0,https://www.autouncle.dk/da/d/4818348-brugt-kia-e-niro-64-comfort,2020,El,204.0
Kia,EV6,12096.0,17.0,506.0,Automatgear,419900.0,1,0,0,1,1,0,1,1,0,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,https://www.autouncle.dk/da/d/4583240-brugt-kia-ev6-el-performance-gt-line-4x4-325hk-5d-trinl-gear,2020,El,325.0
Mazda,MX30,350.0,18.0,200.0,Automatgear,189890.0,1,0,0,1,1,1,1,0,0,0,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,https://www.autouncle.dk/da/d/4809751-ny-mazda-mx30-e-skyactiv-prime-line-145hk-5d-aut,2020,El,145.0
